1,"猜测,猜度,揣测,推想,疑惑,预计,推测,揣度,想到,臆测,测度,料想,猜想,揣摸,忖测,猜疑,估计,忖度,料到,疑心,怀疑,臆想,猜忌"
4,"持续,接续,一贯,连绵,不断,继续,赓续,不息,不休,绵延,一连,陆续,一向,延续,一直,连续,络续,一口气,向来"
7,"脱节,挣脱,阔别,摆脱,离开,脱离,开脱,远离,解脱,逃脱,分离"
10,"式样,皮相,时势,地势,时局,外面,名目,门径,体例,伎俩,形势,法子,状貌,外表,款式,事势,形状,名堂,举措,神情,局面,式子,姿势,设施,方法,形象,样式,要领,轮廓,花样,神志,阵势,模样,主意,外貌,现象,手段,表情,想法,步骤,本事,形态,本领,神色,景象,措施,格式,事态,场面,技俩,形式,手法,手腕,形貌,外观,表象,姿态,心情,表面,技巧,神态,花式,大局,大势,局势,样子,容貌,神气,方式,办法,概况"
13,"表里,内外"
16,"对付,看待,对待,周旋,对于,应付"
19,"自由,解放,解脱"
22,"就是,即是,便是,等于"
25,"关连,干系,关系,相干,相关,有关,沟通,联系,联络,关联,联合"
28,"讨好,趋承,谄媚,趋附,凑趣儿,谀媚,趋奉,巴结,勾通,取悦,奉承,勾引,投合,勾结,献媚,串通,勾搭,恭维,迎合,市欢,谄谀,奉迎,阿谀,逢迎,勾串,夤缘"
31,"功绩,成果,造就,纳贡,功烈,塑造,功勋,培养,成就,培育,造诣,成绩,树立,进贡,建立,建树,劳绩,贡献,功劳"
34,"其它,其余,另外,此外"
37,"内政,内务"
40,"总算,终究,最后,最终,结尾,着末,终归,终极,末了,末端,终于,末尾"
43,"魂灵,魂魄,精力,灵魂,元气,心灵,精神"
46,"活动,当作,手脚,举动,疏通,运动,算作,看成,行动,四肢,步履,作为,动作,行为"
49,"趣味,滑稽,意思,道理,兴趣,风趣,诙谐,意味,真理,兴致,兴会,原理,事理,情调,兴味,意旨,意义,旨趣,有趣,幽默,乐趣"
52,"竹素,竹帛,书籍,书本"
55,"必要,需求,需要,须要"
58,"排队,列队"
61,"预兆,前兆,征候,先兆,征兆"
64,"独特,非常,出格,额外,十分,奇异,非凡,怪异,格外,奇特,尤其,分外,特别,特有,特殊"
67,"一经,已经,也曾,曾经"
70,"临蓐,生产,出产,分娩,临盆,坐蓐,坐褥"
73,"气象,状态,情景,遭逢,遭遇,局面,景况,境遇,景色,情形,状况,形象,处境,形势,境况,环境,情况,情状,景象,地步,现象,场景"
76,"昨年,旧年,去年,客岁"
79,"甘心,宁愿,宁肯,宁可,情愿,甘愿,愿意"
82,"理当,应当,应该,该当"
85,"心术,激情,情绪,生理,感情,脑筋,心绪,表情,头脑,神色,心机,神情,心情,脸色,心境,神态,心理,心思,心计,样子,情感,神志,神气,思想,思维"
88,"苍生,子民,布衣,公民,黎民,庶民,平民,匹夫,选民,百姓,人民,国民"
91,"必需,必须"
94,"探问,探访,打听,探听,了解,探询"
97,"鉴识,拜别,永诀,阔别,区分,判别,分手,辨别,不合,判袂,不同,折柳,分散,分解,分化,辞别,告辞,差异,离别,异议,散乱,差距,鉴别,握别,分辨,分辩,道别,分歧,告别,迥异,辨认,分别,瓦解,识别,差别,分袂,分裂,对立,别离,诀别,区别,划分,永别,分离,辞行"
100,"独霸,使用,行使,垄断,操作,欺诈,诈欺,操纵,愚弄,棍骗,运用,欺骗,利用,诳骗,哄骗,把持,诈骗,应用,独揽"
103,"接纳,收受,选用,拔取,接管,选择,容纳,回收,采用,选拔,选取,接收,接受,采取,采纳,包容"
106,"揭示,呈现,表示,涌现,再现,展示,浮现,显示,展现,闪现,发现,体现,表现,显露,出现,映现,显现,揭开"
109,"迟误,伸张,耽误,延迟,延长,贻误,迟延,延伸,推后,耽搁,拖延,伸长,蔓延,逗留,延宕,延误,耽延,拉长,扩张,推迟"
112,"为何,缘何,何以,何故"
115,"合并,团结,同一,统一,归并"
118,"轻快,敏捷,深化,增加,加紧,马上,加强,紧急,急速,增强,强化,急忙,快速,火速,麻利,立刻,飞快,赶紧,快捷,赶快,稳固,急剧,连忙,迅速,赶忙,急促,巩固"
121,"松弛,缓和,平静,和缓,缓解"
124,"下午,下昼"
127,"以是,因而,于是,所以,是以,因此,于是乎"
128,"部门,局部,部分"
131,"观念,看法,观点,主张,主见,定见,想法,私见,见解,见识,偏见,宗旨,成见,办法,意见,见地"
134,"认为,以为,觉得"
137,"摊开,放开"
140,"才智,才力,技术,手艺,才具,才干,气力,技巧,才气,才华,智力,工夫,材干,能力,技能,本事,才略,实力,势力,技艺,本领,才能"
